id,numpoints,X,Y
0,1,634386.81047258,6867648.3999228
1,1,625515.66078324,6848822.1464135
2,1,620192.85392797,6828712.1441395
3,5,634553.53386767,6867616.3088882
4,1,634616.44540267,6868031.8382866
5,7,619636.36745633,6862913.2802619
6,1,634480.97838743,6867689.6056801
7,1,619937.40787234,6858695.6963744
8,1,631523.32837100,6860620.2553917
9,1,620610.20272842,6879097.5556355
10,1,627101.60090652,6876777.8889422
11,1,626574.87087512,6858170.8929173
12,1,630424.94596989,6867506.3724719
13,1,614136.97831876,6824597.4808649
14,1,636627.17478697,6860590.5379534
15,2,636566.58495388,6860680.6643225
16,1,613939.52353527,6824807.3630168
17,4,636538.78518135,6860399.7517324
18,1,621964.04754338,6851808.3568360
19,1,614046.30485956,6824663.2268856
20,1,636724.08146602,6860091.2184663
21,2,636372.30794080,6860113.0070635
22,1,626709.96088023,6857912.3724396
23,2,636220.31846015,6860154.2283143
24,1,636540.94911878,6860067.6003036
25,1,621313.88727167,6867787.4828775
26,1,635293.94966146,6867348.1606204
27,2,620864.01786065,6868649.0529432
28,1,636284.36035364,6860896.6446497
29,2,636707.02285696,6860182.1972151
30,1,636310.12314381,6860296.5548429
31,3,636565.52626677,6860220.6968556
32,1,635586.42651364,6868229.0506088
33,2,636777.63843891,6860588.8398973
34,1,632905.03545845,6878338.8029464
35,1,633173.20806770,6867124.5504850
36,1,626744.01919091,6857928.7035892
37,1,633211.78687445,6867254.6497957
38,1,638344.71877220,6867486.1122211
39,1,626877.29746307,6857991.6560520
40,2,633196.35410114,6867202.9053964
41,1,626831.47722782,6857919.8008188
42,2,633429.68414698,6878544.2237747
43,4,629195.55983433,6852161.9227707
44,3,618423.00827083,6852374.5182924
45,1,635168.34164582,6866329.9230229
46,2,635748.52636592,6866013.8828103
47,2,618292.89627574,6853179.1894749
48,2,626904.99188750,6857707.7514993
49,1,625263.72432206,6876550.7720545
50,7,627731.24894563,6856289.6812423
51,1,616910.59799539,6877330.6823194
52,6,618637.99380778,6853085.3710127
53,1,633101.65505175,6867420.5733502
54,1,635600.71513248,6866188.4934902
55,1,629955.26493559,6852952.3308435
56,1,633416.46743692,6867066.9971183
57,1,633519.19136234,6864271.7476598
58,5,600212.42631582,6878002.9890668
59,10,624568.48179982,6852502.0675159
60,1,629735.14922432,6853039.9336537
61,1,636878.32546489,6858473.0295917
62,1,632853.94303757,6864469.6208904
63,1,629413.39779585,6853023.2285936
64,3,629044.98247253,6852199.5729098
65,1,627977.04942291,6856118.7779788
66,1,626128.04895335,6859623.9063807
67,1,625871.98549927,6859176.9952174
68,7,602840.55110583,6855097.6844670
69,1,639409.12506547,6870801.8605092
70,1,629912.62072565,6852836.4768421
71,2,621683.99041264,6851836.6635666
72,1,599952.32259819,6878122.6968113
73,1,626304.86680163,6859622.0909124
74,1,638864.48517420,6856382.6817218
75,1,620296.05821397,6868852.2028272
76,3,620314.15653884,6868691.7224201
77,2,638552.94557839,6856149.7885183
78,3,625576.76525720,6831607.4705041
79,1,626401.53418212,6858938.6987835
80,1,638897.79202144,6869771.7671062
81,1,633148.73732408,6864395.9902712
82,1,625801.81028949,6859310.9756040
83,3,640789.86080796,6868609.5240300
84,4,639935.52899020,6868952.0242665
85,9,639866.48885357,6868678.1048119
86,1,627759.72994103,6856336.0922957
87,1,639922.25613551,6868142.1360845
88,7,640739.56826188,6868389.3674193
89,5,600620.90833995,6878040.5496839
90,2,625786.97227846,6859397.3052331
91,2,625859.00035991,6859584.9069902
