id,numpoints,X,Y
0,3,655646.6642872,6863750.7107697
1,3,651477.6576918,6859429.5975525
2,3,655036.1169584,6863971.6461795
3,4,655127.5037685,6864083.1972115
4,2,651944.2054998,6862261.0775509
5,2,648878.1512589,6864647.4873380
6,3,652257.7439497,6866892.5364307
7,3,649970.4169264,6860213.8392984
8,4,651707.7693640,6862561.9176596
9,3,654414.7863806,6865134.3511609
10,3,648819.3679109,6864510.9808696
11,2,651243.3046326,6863165.7103225
12,4,649727.2144775,6860534.3332695
13,11,648928.4361939,6862669.2071371
14,10,648892.5720789,6862446.9324310
15,4,650040.0832929,6864663.3641473
16,6,654681.1496870,6865207.2409129
17,4,655151.1016060,6863669.4078555
18,3,650495.5385109,6861884.9412143
19,3,651118.6357768,6865223.4496131
20,9,650963.1505548,6859017.1642608
21,9,649997.2934713,6860223.7965523
22,2,648733.4644901,6865569.3981986
23,2,651064.2993772,6859088.8396845
24,2,651056.1818750,6859028.2608725
25,3,648899.2813366,6865797.7743697
26,3,651019.2754885,6860560.1121253
27,2,654507.9568981,6862353.7462570
28,3,654530.5191003,6861501.1666954
29,6,654464.9442718,6861509.2579729
30,3,655162.1074736,6863976.9860971
31,7,654502.3771998,6861384.7449508
32,5,652490.8514170,6859800.2039799
33,9,646161.7598201,6860938.2784398
34,5,652595.7081489,6859866.8133348
35,2,648872.8870843,6865340.7938256
36,2,651387.9362760,6861809.9565377
37,2,650794.2927928,6858469.0672148
38,2,651528.1861750,6864973.5314210
39,4,653678.4865008,6859535.7881163
40,2,651451.1385763,6864990.6641351
41,16,653733.1132721,6865542.6791318
42,2,648898.5119076,6865065.6618077
43,5,646252.8309114,6860553.6651534
44,2,651414.1000000,6865267.9333333
45,18,646159.8436824,6860528.2643924
46,3,651528.8408862,6865585.4032665
47,2,651649.6587050,6866361.7354569
48,4,651343.0152130,6865191.5773910
49,11,650136.3050937,6866075.4070493
50,2,651276.0086285,6865232.1495956
51,4,647894.7713724,6860009.7706776
52,2,654873.8414737,6861394.4809857
53,3,647615.3990031,6860715.6319989
54,6,651358.0046097,6865264.3067580
55,2,651178.1955658,6860341.4831918
56,3,648617.1075440,6859190.2419827
57,2,651718.2693349,6864562.8562302
58,11,655194.3927183,6863297.5266212
59,2,651634.8702503,6864533.9639045
60,3,655924.5227105,6864483.4110123
61,3,651642.0289287,6865136.3500947
62,2,653879.2214133,6864785.2762306
63,6,655887.5837603,6864231.9096763
64,2,655376.5684790,6864934.5917042
65,2,653512.3583025,6863129.3691125
66,3,647653.2505206,6864878.0172281
67,2,654385.2261870,6865222.0944150
68,2,652404.7365355,6863850.2500284
69,8,647702.3222912,6864863.3610292
70,2,653436.1954086,6859363.6666586
