id,numpoints,X,Y
0,4,653243.6439998,6858316.0197499
1,14,649240.4048245,6861909.4202262
2,5,649780.1570056,6863832.5568134
3,2,648481.2260147,6859161.0016310
4,3,652993.7669805,6858168.8877346
5,1,649403.0129734,6861676.6017128
6,5,649462.4839513,6861547.6580557
7,1,648857.6497723,6859096.0323628
8,11,652758.6127622,6858343.3957253
9,1,649248.6829646,6861724.6465674
10,3,649345.5929659,6861619.1734337
11,1,651730.3983771,6860459.2769003
12,5,651586.8458955,6860220.3225353
13,2,648230.3047947,6863747.6921248
14,1,648174.6719268,6864879.5213515
15,1,652508.0653327,6858173.0911831
16,2,649568.0390045,6860287.5676292
17,5,648183.3836279,6864685.8510030
18,17,648772.2854050,6860345.3315350
19,3,648215.2369170,6864595.6464333
20,52,649015.1600187,6860448.9324934
21,3,649211.7369984,6860496.8190424
22,6,648087.1026300,6859115.4028595
23,3,649144.4122533,6860225.8369672
24,2,648082.1709593,6864727.7040718
25,7,650315.9358112,6860956.3041890
26,4,649533.4939368,6860142.3476233
27,3,650915.5151154,6860941.4854967
28,5,653122.5193271,6858503.5896813
29,5,649967.1819697,6864065.4725974
30,1,648638.4273469,6861449.3387526
31,4,649649.8749208,6864180.4388052
32,1,649654.9301488,6859701.3871071
33,2,649800.4710126,6859719.9970717
34,3,648508.2002925,6861475.2080524
35,7,650666.9812199,6860919.6505456
36,6,648945.3018288,6859754.3993476
37,5,648639.3766349,6861254.1410780
38,2,648721.3950238,6859732.7639479
39,1,649975.6725883,6862618.6068938
40,2,649302.5883176,6859775.9426457
41,1,651026.4363212,6860557.3598595
42,7,650511.5023535,6861085.8043793
43,3,649362.8842511,6859648.0330983
44,17,650703.4942792,6863707.2412058
45,1,645910.9827844,6862028.6352960
46,2,645968.9446383,6860310.9724697
47,10,645910.3106633,6860127.6721230
48,1,645646.6243500,6860998.7844139
49,16,650712.1083645,6865501.7710170
50,2,651968.7623988,6864897.3160008
51,1,647795.1005160,6864625.8373784
52,2,647864.3851766,6865026.8832709
53,2,654179.1590940,6866213.6239563
54,1,647860.2694866,6864797.7226671
55,2,654051.7541102,6866276.7780095
56,1,649110.9327632,6859688.9684819
57,4,651405.8610833,6865932.7377471
58,1,649134.3197435,6859613.7287521
59,1,647904.1094442,6860327.4843075
60,1,648907.4993418,6859125.7871454
61,6,648341.6035406,6859164.1229881
62,1,648803.4027892,6859105.5812722
63,1,648693.2322065,6859026.9565855
64,1,652678.6564064,6865243.6569445
65,1,656115.8045984,6860296.2648264
66,1,648975.4036766,6859153.5117329
67,1,652649.1059123,6865209.0543308
68,1,649534.4057138,6859149.5433318
69,8,648988.8032968,6859441.1163568
70,8,649573.6682366,6859416.0440231
71,1,653282.9687527,6865946.9271281
72,6,649178.1152009,6859400.2278993
73,2,650090.2637899,6862572.4841920
74,2,652502.4554309,6865829.2311784
75,2,648698.8718371,6864079.0223283
76,1,648974.4975807,6864136.8288242
77,1,649908.6809164,6859149.5944533
78,9,649778.2972165,6859114.6345686
79,3,654390.1078538,6859127.1609584
80,1,648489.4800405,6863966.6376498
81,1,654313.1327502,6858805.2223636
82,1,648423.7019056,6864961.2145230
83,1,648868.1550051,6863280.1737408
84,2,648895.5777010,6863217.9627343
85,1,648767.3802876,6863247.0778054
86,2,652975.0346818,6865207.0317301
87,5,648971.6656965,6864847.7730843
88,1,649492.5258781,6859306.3817268
89,1,645431.2731682,6860782.8318330
90,1,649299.9772132,6859912.7014320
91,48,646137.0635461,6860520.8898754
92,1,648907.5683204,6859254.9968229
93,2,648295.8934880,6859170.2069186
94,2,649058.8745061,6859240.8857262
95,1,648900.3073835,6858942.5945169
96,3,649356.2355148,6859189.9694622
97,1,649084.4864080,6858603.2086294
98,1,648494.3258452,6859059.6575852
99,1,648863.9265533,6858998.8680247
100,1,649109.7777725,6858870.8322035
101,1,649147.3434116,6859013.0692181
102,4,648735.2155034,6864653.8607026
103,2,648782.5054243,6864687.2736251
104,1,652939.6615108,6865576.4137460
105,2,648318.8640770,6863135.6587035
106,3,656828.8821140,6861274.6460660
107,2,648314.2638282,6864192.6393302
108,7,648263.6801868,6864752.9228936
109,1,646069.3344689,6861876.9883761
110,6,648466.2778569,6864709.8258351
111,1,648812.1436205,6864962.0857188
112,5,656457.3933302,6860464.2938836
113,1,645402.2415624,6860115.0023125
114,1,648661.1595100,6864576.7638699
115,5,656219.6747027,6860497.9053151
116,4,648639.6499929,6864436.1261445
117,1,656495.9686210,6861079.8568105
118,3,650234.8771039,6858730.6481595
119,2,649008.1462094,6863248.4877790
120,6,650197.8748832,6858482.7220263
121,1,648851.4786109,6863402.6487057
122,1,645793.6248088,6859878.8733998
123,1,652621.8128138,6865808.5238717
124,2,648682.8337578,6863150.9359695
125,6,648923.6504912,6863333.5729799
126,2,650141.8235968,6858999.3320303
127,1,652592.8307101,6862983.1435906
128,1,648587.2690041,6860152.4470054
129,1,648572.4543065,6863205.8890316
130,5,648706.4506419,6860520.4160629
131,1,653431.1320579,6862391.0327869
132,1,653431.1320579,6862391.0327869
133,3,648386.6027271,6863258.9065761
134,3,645572.1399288,6860005.2710253
135,3,651993.9133137,6858736.3810083
136,1,645693.9213499,6859853.2596492
137,1,653107.9382774,6859614.4941787
138,4,645580.7698267,6860972.0756775
139,1,653108.5100893,6865582.1660497
140,8,646122.8232910,6861150.4995885
141,1,645996.1665000,6861369.6840477
142,1,645764.8754076,6861649.6725117
143,14,646193.3051411,6860328.6919248
144,4,646111.0171125,6860241.0997118
145,4,650248.2622785,6858527.6072653
146,1,656753.1650104,6861213.0995459
147,1,646017.8791111,6861189.7037585
148,2,648905.8581891,6865066.0959682
149,4,653616.1177609,6858594.7756662
