id,numpoints,X,Y
0,11,629048.0531751,6875898.2545806
1,3,640125.9064435,6868758.4791089
2,1,638007.6283194,6864724.9706376
3,2,628307.6544230,6862687.0653162
4,1,624445.5525976,6864349.1197015
5,1,640735.5878650,6868830.3579573
6,2,628431.0843855,6862321.9217738
7,1,635361.5668418,6867325.0942552
8,1,635278.6374755,6867304.7423019
9,1,635323.0473892,6867281.9664801
10,1,607362.1426573,6877412.9338702
11,2,635368.8998988,6867258.9476640
12,1,639746.3686088,6869249.3262778
13,1,627663.8879427,6862364.1482281
14,1,624959.3137963,6875301.0726114
15,1,634913.5134528,6866906.5234772
16,1,631164.3207687,6846300.9595958
17,1,640937.9197660,6868913.6064074
18,1,631209.0434991,6871626.3316800
19,1,629214.0975312,6852269.6685079
20,1,637947.1546297,6864767.5065677
21,1,637462.9549153,6864905.5439277
22,1,629375.9385996,6853136.2141554
23,2,629989.7258633,6852926.9764263
24,1,637797.6894341,6864794.8291258
25,1,597512.6488499,6882780.8657927
26,1,603144.9903673,6855874.8730788
27,1,605665.5016702,6877202.1588338
28,1,625976.4276045,6871704.5033262
29,1,616147.6504605,6868464.7801639
30,2,638579.0231815,6852439.0669908
31,2,632253.2268407,6864863.3644013
32,2,631068.9291026,6852164.2122635
33,1,625148.3225777,6858329.7199647
34,1,640807.0973946,6868719.4856655
35,1,639790.1156751,6868534.7432110
36,2,635289.1538032,6867527.0001745
37,1,639475.0853800,6868128.7609642
38,1,596267.5187240,6882946.0568179
39,1,622271.5605930,6879488.8089783
40,1,625806.0640355,6859311.7708400
41,1,615964.6689500,6869270.6539278
42,2,637914.4136066,6864925.7505360
43,1,622219.7761290,6849758.6647104
44,1,615838.0211687,6839410.6537975
45,1,622026.7432163,6851811.0323378
46,2,631232.5519129,6853716.3259803
47,1,631414.3444009,6853830.4459922
48,1,632235.5388935,6864656.2560714
49,1,632180.6761967,6864815.7196674
50,3,637981.5877585,6864668.4581632
51,1,626439.4188452,6858964.9742240
52,1,632005.5637887,6865265.0922950
53,1,596143.7957961,6882447.7124700
54,1,636241.5489856,6855724.3503042
55,1,625293.4447256,6858215.8483787
56,4,615653.8820669,6869781.1039516
57,4,629763.0183308,6854093.0243004
58,3,625363.2383349,6853531.9962985
59,1,631943.6267521,6865634.4383656
60,1,634907.2561249,6862585.7951644
61,1,631844.6652559,6865612.7841453
62,1,625897.6325240,6871696.4871749
63,2,623284.9838784,6850197.8178291
64,1,637910.0785348,6865272.1319235
65,5,630881.9292461,6853829.0479166
66,1,626082.0424476,6859453.9069578
67,1,637958.7534375,6865275.9354825
68,1,603014.4259367,6855438.7933741
69,1,625194.6521265,6858440.2811735
70,1,603070.8034644,6855832.9303080
71,1,625145.8286383,6832248.3756862
72,1,615598.7656909,6839956.7532567
73,1,625506.2477549,6858280.0230639
74,1,614095.5699334,6880559.3839799
75,1,637232.2988724,6858459.6855843
76,1,618719.8072467,6852631.6259280
77,1,620586.2618837,6868483.7593877
78,1,603017.1451229,6855578.1195164
79,1,623366.7552547,6850145.5184440
80,1,623331.1280807,6850307.6358928
81,1,620366.9764838,6868475.3310484
82,1,633780.7369894,6878997.3656031
83,1,626112.0667701,6859760.3572287
84,1,638685.5840057,6856773.7905750
85,1,619121.4884445,6861866.8008866
86,5,617344.1631752,6862317.3977581
87,2,631888.4461512,6865339.6682435
88,2,639687.9020959,6856318.9848203
89,1,629817.6624686,6859827.7877667
90,1,619729.4956110,6862781.7452316
91,1,631971.2122409,6864841.7202996
92,2,598234.7339189,6880934.5057389
93,2,598377.7628492,6880956.9643028
94,1,638731.7871934,6852728.6888763
95,1,627333.1206510,6856616.9528114
96,1,619155.3531111,6861948.8719679
97,1,619225.1518536,6862410.7346010
98,1,619086.9603779,6862099.4137610
99,7,633578.8444520,6877320.1952529
100,1,618948.8815514,6861946.4410118
101,1,615272.1806650,6869178.3170589
102,1,615963.8705972,6869778.4425208
103,1,626197.9039729,6853681.8959271
104,1,633712.2945577,6878968.3648120
105,2,638268.7773057,6867019.7520814
106,1,627930.2923316,6862643.4917209
107,1,619748.8408419,6877102.2644065
108,1,609751.5089759,6862944.3351409
109,1,625284.8656987,6853050.8216975
110,1,627308.5218174,6853466.4470401
111,1,638281.3865375,6866797.1466359
112,1,609772.2863685,6862855.0007583
113,1,609890.3148029,6862830.9126022
114,1,631128.3127756,6852346.8186081
115,1,610037.1987696,6862726.6512440
116,1,609980.8645343,6863017.7811529
117,1,610164.0542866,6875476.3668333
118,2,632115.1276951,6865279.5074810
119,1,622301.5511286,6853330.5570937
120,1,631997.3565375,6864747.8345168
121,1,636858.9380222,6866857.4368542
122,1,619563.7702327,6874423.3213002
