DEPCOM,NOM_COM,IRIS,DCOMIRIS,NOM_IRIS,TYP_IRIS,ORIGINE,NUMPOINTS,X,Y
49,75104,PARIS 4E ARRONDISSEMENT,1302,751041302,SAINT-MERRI 2,H,,20,652476.7693814,6862350.1111290
50,75104,PARIS 4E ARRONDISSEMENT,1303,751041303,SAINT-MERRI 3,H,,16,652306.5566837,6862412.5562049
51,75104,PARIS 4E ARRONDISSEMENT,1304,751041304,SAINT-MERRI 4,A,,5,652358.2547393,6862066.5623177
52,75104,PARIS 4E ARRONDISSEMENT,1305,751041305,SAINT-MERRI 5,A,,1,652555.6387797,6862120.1868100
53,75104,PARIS 4E ARRONDISSEMENT,1399,751041399,SEINE ET BERGES,D,,0,652292.3422924,6861967.0961655
54,75104,PARIS 4E ARRONDISSEMENT,1401,751041401,SAINT-GERVAIS 1,H,,18,652877.4828610,6861820.4027361
55,75104,PARIS 4E ARRONDISSEMENT,1402,751041402,SAINT-GERVAIS 2,H,,12,652790.8801791,6862186.3344136
56,75104,PARIS 4E ARRONDISSEMENT,1403,751041403,SAINT-GERVAIS 3,H,,3,652984.4977065,6862054.4375170
57,75104,PARIS 4E ARRONDISSEMENT,1404,751041404,SAINT-GERVAIS 4,H,,7,653207.0124457,6861950.5504624
58,75104,PARIS 4E ARRONDISSEMENT,1499,751041499,SEINE ET BERGES,D,,0,652764.1851481,6861689.0716265
59,75104,PARIS 4E ARRONDISSEMENT,1501,751041501,ARSENAL 1,H,,1,653388.6546748,6861293.4645880
60,75104,PARIS 4E ARRONDISSEMENT,1502,751041502,ARSENAL 2,H,,9,653227.0911813,6861599.6651942
61,75104,PARIS 4E ARRONDISSEMENT,1503,751041503,ARSENAL 3,H,,16,653470.4721174,6861610.8701500
62,75104,PARIS 4E ARRONDISSEMENT,1504,751041504,ARSENAL 4,H,,18,653488.5591763,6861835.2448022
63,75104,PARIS 4E ARRONDISSEMENT,1588,751041588,BASSIN DE L'ARSENAL,D,,0,653575.6800801,6861299.5172239
64,75104,PARIS 4E ARRONDISSEMENT,1599,751041599,SEINE ET BERGES,D,,0,653210.9514927,6861163.9712877
65,75104,PARIS 4E ARRONDISSEMENT,1601,751041601,NOTRE DAME 1,H,,1,652789.4330399,6861488.7783064
66,75104,PARIS 4E ARRONDISSEMENT,1602,751041602,NOTRE DAME 2,H,,0,652361.5665048,6861721.0121037
67,75104,PARIS 4E ARRONDISSEMENT,1603,751041603,NOTRE DAME 3,A,,0,652181.7097963,6861736.5731209
68,75104,PARIS 4E ARRONDISSEMENT,1699,751041699,SEINE ET BERGES,D,,0,652656.0556164,6861566.5112418
69,75105,PARIS 5E ARRONDISSEMENT,1701,751051701,SAINT-VICTOR 1,H,,26,652582.1499714,6860860.3137871
70,75105,PARIS 5E ARRONDISSEMENT,1702,751051702,SAINT-VICTOR 2,H,,13,652553.3881450,6860724.3029493
71,75105,PARIS 5E ARRONDISSEMENT,1703,751051703,SAINT-VICTOR 3,H,,8,652328.5571505,6860858.0007194
72,75105,PARIS 5E ARRONDISSEMENT,1704,751051704,SAINT-VICTOR 4,H,,18,652452.8766262,6861157.6510141
73,75105,PARIS 5E ARRONDISSEMENT,1705,751051705,SAINT-VICTOR 5,H,,18,652427.6722842,6861327.6383781
74,75105,PARIS 5E ARRONDISSEMENT,1706,751051706,SAINT-VICTOR 6,A,,0,652815.5296531,6860979.8357580
75,75105,PARIS 5E ARRONDISSEMENT,1799,751051799,SEINE ET BERGES,D,,0,652819.2654331,6861236.9457783
76,75105,PARIS 5E ARRONDISSEMENT,1801,751051801,JARDIN DES PLANTES 1,H,,4,652954.7173638,6860140.0282361
77,75105,PARIS 5E ARRONDISSEMENT,1802,751051802,JARDIN DES PLANTES 2,H,,15,652580.4201496,6859997.5391142
78,75105,PARIS 5E ARRONDISSEMENT,1803,751051803,JARDIN DES PLANTES 3,H,,8,652328.6445862,6860078.5752138
79,75105,PARIS 5E ARRONDISSEMENT,1804,751051804,JARDIN DES PLANTES 4,H,,9,652564.3679763,6860168.8615266
80,75105,PARIS 5E ARRONDISSEMENT,1805,751051805,JARDIN DES PLANTES 5,H,,16,653033.8066891,6860327.1083174
81,75105,PARIS 5E ARRONDISSEMENT,1806,751051806,JARDIN DES PLANTES 6,H,,6,652560.3435805,6860344.8441214
82,75105,PARIS 5E ARRONDISSEMENT,1807,751051807,JARDIN DES PLANTES 7,H,,13,652362.0259340,6860482.5706607
83,75105,PARIS 5E ARRONDISSEMENT,1808,751051808,JARDIN DES PLANTES 8,H,,6,652587.8964936,6860490.7852211
84,75105,PARIS 5E ARRONDISSEMENT,1809,751051809,JARDIN DES PLANTES,D,,2,653010.0101485,6860616.0415729
85,75105,PARIS 5E ARRONDISSEMENT,1899,751051899,SEINE ET BERGES,D,,0,653289.9713794,6860838.6854988
86,75105,PARIS 5E ARRONDISSEMENT,1901,751051901,VAL DE GRACE 1,H,,13,652110.1791788,6860023.3263012
87,75105,PARIS 5E ARRONDISSEMENT,1902,751051902,VAL DE GRACE 2,H,,4,651789.3483919,6860157.6085516
