id,identifiant,numero,adresse,postal,commune,source,geom,date,X,Y,labels
0,784400370K-53,53,Rue Jean Jaurès,78130,Les Mureaux,OSM,619980.9614017355,6877201.384963885,01010000206A08000029D93CEC99EB2241903FA358043C5A41,2020-03-19,0
1,782420660L-16D,16D,Rue Victor Hugo,78330,Fontenay-le-Fleury,OSM,629608.5484307358,6857042.919602132,01010000206A080000D5E9CB18D1362341E7C2DABA54285A41,2020-03-19,3
2,783271350S-68,68,Avenue de Paris,78820,Juziers,OSM,616019.6091585965,6877406.3013913985,01010000206A080000B4A2E337A7CC224126FF4993373C5A41,2020-03-19,1
3,786810012Y-36,36,Rue du Centre,78770,Villiers-le-Mahieu,OSM,609852.7141744847,6862872.9379371395,01010000206A0800002F47A86D799C22417F29073C062E5A41,2020-03-19,2
4,780030075P-17,17,Chemin des Charbonniers,78660,Ablis,OSM,615091.9542446977,6827046.317534588,01010000206A080000D2C292E867C52241987C5294090B5A41,2020-03-19,-1
5,780730180Z-21,21,Rue du Docteur Roux,78390,Bois-d'Arcy,OSM,629242.5788017361,6856182.8074949235,01010000206A0800007FB35828F533234130FFADB37D275A41,2020-03-19,3
6,785010207T-9,9,Allée des Châtaigniers,78440,Porcheville,OSM,610188.9552911044,6875412.81447657,01010000206A08000067EA1BE9199F224156622034453A5A41,2020-03-19,4
7,784180250A-45,45,Avenue Henri Barbusse,78360,Montesson,OSM,637103.1881652479,6870225.174765432,01010000206A080000043257605E7123415A5B2F4B34355A41,2020-03-19,5
8,783112110M-30,30,Rue de Verdun,78800,Houilles,OSM,640200.7009843385,6869501.838646352,01010000206A080000526BE76691892341C061AC757F345A41,2020-03-19,6
9,781721700W-11,11,Rue du Maréchal Joffre,78700,Conflans-Sainte-Honorine,OSM,633270.7818177766,6877291.100033389,01010000206A0800006C6B4A906D53234172F266C61A3C5A41,2020-03-19,7
10,781240849E-2,2,Impasse du Progrès,78420,Carrières-sur-Seine,C+O,641193.5257414966,6868827.978749126,01010000206A0800004CFD2D0D5391234160D3A3FED6335A41,2020-03-19,6
11,786210333H-9001,9001,Square H Wallon Gpe Scolai 2,78190,Trappes,CAD,625441.350160514,6853246.002869208,01010000206A080000283D48B34216234155022F809F245A41,2020-03-19,8
12,783581380P-76B,76B,Rue du Maréchal Foch,78600,Maisons-Laffitte,OSM,636641.3114429387,6871581.634171804,01010000206A080000E972759FC26D23415645966887365A41,2020-03-19,9
13,783640100X-7,7,Rue des Champs,78770,Marcq,OSM,613136.086982,6863328.657826207,01010000206A0800009BE7882C20B6224117D3192A782E5A41,2020-03-19,-1
14,786550040S-13,13,Route d'Auffargis,78125,Vieille-Église-en-Yvelines,OSM,617523.8091142408,6841342.299968105,01010000206A080000C638449E67D822416CAD3293FF185A41,2020-03-19,-1
15,782550990N-16,16,Rue du Terrier Rouge,78840,Freneuse,C+O,597232.9582359164,6882731.2072081715,01010000206A080000E6E59DEAE139224110E642CD6A415A41,2020-03-19,10
16,785710720W-10,10,Chemin du Trou à Sable,78860,Saint-Nom-la-Bretèche,OSM,627846.17585731,6862429.046148991,01010000206A08000026F8095A0C292341E61AF442972D5A41,2020-03-19,11
17,781650320B-18,18,Avenue des Frères Lumière,78340,Les Clayes-sous-Bois,OSM,626206.3173465276,6859062.2479999615,01010000206A0800007B3E7BA23C1C23413B3BDF8F4D2A5A41,2020-03-19,12
18,782170720K-75,75,Boulevard de Mantes,78680,Épône,OSM,614828.5008468456,6875028.395972008,01010000206A0800006CFF6E0059C32241FA9A5719E5395A41,2020-03-19,-1
19,783620480U-29,29,Route de Houdan,78711,Mantes-la-Ville,C+O,605992.3894089652,6876303.252972234,01010000206A080000A59C60C7507E224174B230D0233B5A41,2020-03-19,-1
20,785760450F-28B,28BIS,Rue du Professeur Mariller,78690,Saint-Rémy-l'Honoré,C+O,617769.5181182438,6851101.583747224,01010000206A08000061CB460953DA2241511D5C6587225A41,2020-03-19,-1
21,782670800E-19,19,Impasse des Haies,78440,Gargenville,OSM,612582.6555251718,6876905.062852891,01010000206A080000CDFEA04FCDB1224122C80544BA3B5A41,2020-03-19,44
22,783830132Z-20,20,Rue du Bois d'Acacias,78310,Maurepas,OSM,619451.8797907503,6853494.077404703,01010000206A080000E8EE73C277E72241DB32F484DD245A41,2020-03-19,-1
23,781460900P-4,4,Rue Henri Vercken,78400,Chatou,CAD,638261.3006608734,6866905.288071251,01010000206A080000D538F0996A7A234166C26F52F6315A41,2020-03-19,13
24,781380085N-11,11,Rue des Chariots,78570,Chanteloup-les-Vignes,OSM,629461.0274277888,6876199.27287159,01010000206A080000E0030B0EAA35234167BA76D1093B5A41,2020-03-19,14
25,780620402N-14,14,Rue Moreau,78650,Beynes,CAD,617401.326905077,6862061.78702276,01010000206A0800002D1A60A772D72241B6945E723B2D5A41,2020-03-19,-1
26,784150030Z-9,9,Rue de l'Ormoir,78124,Montainville,OSM,616415.1226631254,6865383.583531382,01010000206A08000080B3CD3EBECF2241029458E579305A41,2020-03-19,-1
27,783970397B-33,33,Rue de la Lambruche,78320,Le Mesnil-Saint-Denis,OSM,622986.1788316823,6850121.789955205,01010000206A08000086D38F5B1403234147A08E7292215A41,2020-03-19,15
28,783970380H-43,43,Avenue Jean d'Ayen,78320,Le Mesnil-Saint-Denis,OSM,622379.2953457417,6849615.93407449,01010000206A0800009B8E379756FE22415FE0C7FB13215A41,2020-03-19,15
29,786720142D-25,25,Allée du Coteau,78670,Villennes-sur-Seine,OSM,625951.1525252057,6871682.59145064,01010000206A080000A5C8174E3E1A2341C953DAA5A0365A41,2020-03-19,-1
30,781720090W-93,93,Rue des Anglais,78700,Conflans-Sainte-Honorine,OSM,634032.5728366572,6879288.820705823,01010000206A080000A9D84A2561592341B77186340E3E5A41,2020-03-19,7
31,784020210B-16,16,Chemin de l'Épine,78970,Mézières-sur-Seine,OSM,611593.4534761307,6872841.363611376,01010000206A080000FE052EE812AA2241A6684557C2375A41,2020-03-19,-1
32,785710460N-16,16,Rue du Moulin à Vent,78860,Saint-Nom-la-Bretèche,OSM,628053.8791688633,6862409.003956066,01010000206A080000D76B22C2AB2A2341F2D04040922D5A41,2020-03-19,11
33,783100440B-13,13,Rue du Mont Roti,78550,Houdan,OSM,597163.5534448796,6855213.472366406,01010000206A08000094205D1B573922414E403B5E8B265A41,2020-03-19,-1
34,786430002C-16,16,Rue des Acacias,78540,Vernouillet,OSM,624941.9060996526,6875293.504558785,01010000206A0800002E4BECCF5B122341EEB04A60273A5A41,2020-03-19,-1
35,785750340R-12,12,Rue Lamartine,78470,Saint-Rémy-lès-Chevreuse,OSM,631467.7350697446,6845829.386044926,01010000206A080000C30F5B7857452341C7F5B458611D5A41,2020-03-19,73
36,784430200M-3,3,Rue de la Porte de Vicq,78640,Neauphle-le-Vieux,C+O,616402.3782087431,6857775.065536869,01010000206A0800008D93A4C1A4CF22418DC131C40B295A41,2020-03-19,16
37,785370835U-50,50,Rue des Paradis,78730,Saint-Arnoult-en-Yvelines,OSM,621176.6119794432,6830672.262926197,01010000206A0800009D5E5539F1F4224166C8D310940E5A41,2020-03-19,-1
38,784810180A-33,33,Allée de la Capitainerie,78230,Le Pecq,C+O,634328.4733289846,6867387.835603758,01010000206A0800003A2D58F2B05B23412F887AF56E325A41,2020-03-19,17
39,780030350N-4,4,Rue du Vieux Chemin de Paris,78660,Ablis,OSM,614223.5068782478,6824753.9097790485,01010000206A080000B38B85039FBE2241E7D1397ACC085A41,2020-03-19,18
40,780570820P-8,8,Rue de la Nourrée,78270,Bennecourt,C+O,595449.8677339298,6883350.752623539,01010000206A080000249F47BCF32B2241ECFB2AB005425A41,2020-03-19,-1
41,786861180W-14,14,Rue Sainte-Geneviève,78220,Viroflay,OSM,638614.537432528,6856188.788708192,01010000206A080000375B2A132D7D2341ED317A327F275A41,2020-03-19,19
42,783890280J-11B,11BIS,Rue Léopold Bellan,78490,Méré,C+O,613380.3980772162,6854718.895887291,01010000206A080000E2C6D0CB08B82241A63756B90F265A41,2020-03-19,-1
43,783500610M-10,10,Rue du Professeur Tuffier,78430,Louveciennes,OSM,634932.1824115394,6862621.128598068,01010000206A080000980B655D6860234164F33A48C72D5A41,2020-03-19,-1
44,783840380P-20B,20BIS,Rue de la Seine,78670,Médan,C+O,626576.3200703624,6873029.420322962,01010000206A0800003643E0A3201F23414892E65AF1375A41,2020-03-19,-1
45,786240572E-6,6,Allée des Lys,78510,Triel-sur-Seine,OSM,627846.9393051858,6875926.810772626,01010000206A080000FC9BECE00D292341DEB2E3B3C53A5A41,2020-03-19,20
46,783611220C-29,29,Rue de Lorraine,78200,Mantes-la-Jolie,OSM,605788.8609736688,6877236.946198996,01010000206A0800006C8AD1B8B97C22413C868E3C0D3C5A41,2020-03-19,21
47,783820060A-9060,9060,Rue de la Gare,78780,Maurecourt,C+O,631332.090522148,6877567.276968185,01010000206A08000042EB582E48442341C4D8B9D15F3C5A41,2020-03-19,-1
48,781461590P-91,91,Rue des Sablons,78400,Chatou,OSM,636706.9114293426,6867913.5912953345,01010000206A080000E6DDA6D2456E234163C8D765F2325A41,2020-03-19,22
49,781240210K-9,9,Route de Chatou,78420,Carrières-sur-Seine,OSM,639464.2304724257,6867775.001368292,01010000206A080000567B0076D0832341086B16C0CF325A41,2020-03-19,6
50,783112030A-45,45,Rue de Strasbourg,78800,Houilles,C+O,640274.8647419915,6870176.216095338,01010000206A0800005A76BFBA258A23418A81D40D28355A41,2020-03-19,6
51,78380B036P-5230,5230,Dessus du Moulin de la Cha,78580,Maule,CAD,615778.4847882128,6869751.407286992,01010000206A0800001F2936F8C4CA224176FD10DABD345A41,2020-03-19,23
52,785860630H-24,24,Rue Christophe Colomb,78500,Sartrouville,OSM,638863.8072287175,6870337.750413192,01010000206A0800001C154D9D1F7F23410EC5067050355A41,2020-03-19,24
53,784400408B-4,4,Rue Louis Blériot,78130,Les Mureaux,OSM,620722.6325490304,6875638.219527136,01010000206A0800006D77DD4365F122418BBB0C8E7D3A5A41,2020-03-19,-1
54,781230329U-32,32,Allée des Sables,78955,Carrières-sous-Poissy,C+O,628217.5537734067,6871122.315865051,01010000206A0800001E30881BF32B23410C22379414365A41,2020-03-20,-1
55,783111070G-94,94,Avenue Jean-Jacques Rousseau,78800,Houilles,OSM,639981.0043693639,6868888.135530094,01010000206A08000086B33C02DA8723416A86AC08E6335A41,2020-03-20,6
56,785200300L-11,11,Route de Houdan,78550,Richebourg,OSM,599827.3818241026,6858824.994826267,01010000206A080000E3727EC3264E2241CA3BAB3F122A5A41,2020-03-20,-1
57,781720840L-10B,10BIS,Rue des Ecouvilliers,78700,Conflans-Sainte-Honorine,OSM,633807.2621398453,6878295.221883832,01010000206A0800009D3137869E5723413E5833CE153D5A41,2020-03-20,7
58,786240020E-9023,9023,Rue de l'Arche,78510,Triel-sur-Seine,C+O,627463.9682471023,6876729.58421606,01010000206A0800008E15BEEF0F262341C2CB63658E3B5A41,2020-03-20,20
59,781460849J-7,7,Allée des Guipières,78400,Chatou,C+O,636858.2962947949,6867753.134504406,01010000206A0800008CF3B397746F23415EB89B48CA325A41,2020-03-20,22
60,781900160U-3,3,Avenue du Colifichet,78290,Croissy-sur-Seine,OSM,637904.1056602413,6864745.62089683,01010000206A08000062191936A07723410FC6BC67DA2F5A41,2020-03-20,13
61,780050136X-34,34,Rue Django Reinhardt,78260,Achères,OSM,631878.0843966171,6872251.773498105,01010000206A0800008D08362B8C48234132FE80F12E375A41,2020-03-20,25
62,781070450V-17,17,Rue Jean Mermoz,78980,Bréval,OSM,592519.2411243165,6872438.258282765,01010000206A0800007BA5747B0E1522416FB487905D375A41,2020-03-20,26
63,786240732D-6,6,Square Paul Fort,78510,Triel-sur-Seine,OSM,627817.3932712489,6875483.650197245,01010000206A08000061D95AC9D2282341E8D49CE9563A5A41,2020-03-20,20
64,783350720X-20,20,Avenue du Président Wilson,78520,Limay,C+O,607481.5467458984,6877569.736296116,01010000206A0800001214EF17F3892241BF791F6F603C5A41,2020-03-20,27
65,785500260M-1,1,Rue Voltaire,78640,Saint-Germain-de-la-Grange,OSM,619765.2239827522,6858451.365500156,01010000206A08000007DEAD72EAE92241C45A64D7B4295A41,2020-03-20,-1
66,783220632H-26,26,Rue Victor Hugo,78350,Jouy-en-Josas,OSM,638605.2469018743,6852693.269625403,01010000206A08000027EC697E1A7D2341E88A415115245A41,2020-03-20,28
67,786240733E-3,3,Rue Paul Meyan,78510,Triel-sur-Seine,OSM,628749.1975130124,6876460.132340509,01010000206A080000F26C20651A302341544478084B3B5A41,2020-03-20,14
68,78372A002A-11,11,Résidence Champ des Oiseaux,78160,Marly-le-Roi,C+O,633068.8722098952,6863859.811699879,01010000206A0800009E4B92BED95123410DE4F2F3FC2E5A41,2020-03-20,36
69,785750208X-1,1,Allée des Cyprès,78470,Saint-Rémy-lès-Chevreuse,OSM,632442.2819696366,6846781.865517711,01010000206A080000FF525E90F44C234166A464774F1E5A41,2020-03-20,29
70,785170727N-146,146,Rue du Vieil Orme,78120,Rambouillet,OSM,616065.3901463499,6840533.820277575,01010000206A0800002B43C1C702CD2241846D7F7435185A41,2020-03-20,30
71,781720190E-19,19,Avenue Beausite,78700,Conflans-Sainte-Honorine,OSM,635219.1715152839,6879235.019216003,01010000206A080000EED9D057A6622341C2D53AC1003E5A41,2020-03-20,7
72,786240147T-3,3,Allée des Chardonnerets,78510,Triel-sur-Seine,OSM,628011.2264937946,6875833.676140771,01010000206A080000A1FEF673562A2341F1E3456BAE3A5A41,2020-03-20,20
73,785010390S-60,60,Rue de la Grande Remise,78440,Porcheville,OSM,610117.3363204247,6875327.398361341,01010000206A080000D23032AC8A9E224191C07ED92F3A5A41,2020-03-20,4
74,786860775F-51,51,Rue du Lieutenant Colonel Lesabazec,78220,Viroflay,OSM,639630.9237689299,6855992.311696045,01010000206A080000BE3DF8D81D852341F8D3F2134E275A41,2020-03-20,19
75,785020020K-26,26,Rue de Bellevue,78560,Le Port-Marly,OSM,634819.3092513648,6864489.834059361,01010000206A080000E431569E865F2341843A61759A2F5A41,2020-03-20,31
76,785511465T-68,68,Rue de Poissy,78100,Saint-Germain-en-Laye,OSM,633210.8537468715,6866933.665929916,01010000206A080000584F1EB5F552234183989E6AFD315A41,2020-03-20,32
77,784900325U-50,50,Chemin des Iris,78370,Plaisir,C+O,623884.1059198215,6858063.331452184,01010000206A080000731F3B36180A2341398336D553295A41,2020-03-20,33
78,781240615A-9,9,Boulevard Maurice Berteaux,78420,Carrières-sur-Seine,OSM,640056.3092450176,6868028.060678368,01010000206A080000EA5C559E708823418627E2030F335A41,2020-03-20,6
79,783610557G-34,34,Rue du Commandant Bouchet,78200,Mantes-la-Jolie,C+O,603542.1343029685,6879101.994421429,01010000206A080000D35BC3442C6B2241C799A47FDF3D5A41,2020-03-20,-1
80,784180110Y-11,11,Rue Corneille,78360,Montesson,OSM,636793.034616639,6870334.75959522,01010000206A080000A945B911F26E234145359DB04F355A41,2020-03-20,5
81,780620512H-26,26,Rue des Saules,78650,Beynes,OSM,618305.9005533797,6861319.008848066,01010000206A080000245515CD83DE22417BF790C0812C5A41,2020-03-20,34
82,783581620A-26,26,Rue de la Muette,78600,Maisons-Laffitte,OSM,637290.9713330609,6872561.103423054,01010000206A080000249152F1D5722341BB7B9E467C375A41,2020-03-20,9
83,781461810D-8,8,Rue des Vignobles,78400,Chatou,OSM,638195.6927494515,6867084.918195763,01010000206A0800005D0EB062E779234129B8C33A23325A41,2020-03-20,13
84,786240808L-6,6,Placette des Pommiers,78510,Triel-sur-Seine,OSM,627823.47216193,6875302.070219455,01010000206A0800006035BFF1DE282341BE797E84293A5A41,2020-03-20,20
85,783112030A-22B,22BIS,Rue de Strasbourg,78800,Houilles,OSM,640190.2528355349,6870128.714602374,01010000206A080000C3A873817C892341980BBC2D1C355A41,2020-03-20,6
86,784900429G-10,10,Impasse Maurice Barrès,78370,Plaisir,OSM,621060.8988672348,6858235.193878142,01010000206A080000825338CC09F42241DE7F68CC7E295A41,2020-03-21,35
87,784180624G-13,13,Avenue de la Terrasse,78360,Montesson,OSM,635468.5596639807,6868360.863531908,01010000206A080000FC468C1E99642341561B443762335A41,2020-03-21,-1
88,783670100J-13B,13BIS,Chemin des Hauts Doigts,78750,Mareil-Marly,OSM,632690.873090578,6865003.371347383,01010000206A0800006EBA05BFE54E2341D027C4D71A305A41,2020-03-21,36
89,780730400N-60,60,Avenue Marcel Hirbec,78390,Bois-d'Arcy,OSM,629377.5906929532,6856424.018108065,01010000206A080000884E6F2E03352341BBAE2801BA275A41,2020-03-21,3
90,784660220J-96,96,Rue de Bures,78630,Orgeval,OSM,624638.6691052226,6871653.946151344,01010000206A080000B1F59456FD0F23415EBE8D7C99365A41,2020-03-21,-1
91,781070510K-45B,45BIS,Rue du Parc,78980,Bréval,OSM,591829.8419562744,6872365.136393813,01010000206A0800008EE414AFAB0F22411EADBA484B375A41,2020-03-21,-1
92,785860410U-94B,94BIS,Boulevard de Bezons,78500,Sartrouville,OSM,640192.145058165,6871608.55211268,01010000206A0800005510454A808923416CD055238E365A41,2020-03-21,-1
93,784010097H-16,16,Rue du Beau Site,78250,Meulan-en-Yvelines,OSM,620411.3867832548,6879813.013834481,01010000206A0800006C7408C6F6EE224105AAE240913E5A41,2020-03-21,60
94,782060200T-46,46,Rue des Vignes,78920,Ecquevilly,OSM,620720.0662966378,6873357.869763472,01010000206A08000006A2F12160F122416934AA7743385A41,2020-03-21,37
95,783970685P-14,14,Rue des Taillandiers,78320,Le Mesnil-Saint-Denis,OSM,623299.2909202598,6850305.451416319,01010000206A0800001380F394860523414601E45CC0215A41,2020-03-21,15
96,781330035F-3,3,Rue du Chemin Vert,78240,Chambourcy,OSM,630319.0954577182,6867362.762240403,01010000206A08000084D5DF305E3C2341F98BC8B068325A41,2020-03-21,-1
97,783830880M-11,11,Avenue du Perche,78310,Maurepas,OSM,621811.9754997176,6852294.672923206,01010000206A080000F1B274F3E7F922417F2C11ABB1235A41,2020-03-21,38
98,785170040S-73,73,Rue Auguste Moutié,78120,Rambouillet,OSM,614500.3559693518,6839281.300574257,01010000206A080000699D41B6C8C02241CF9B3C53FC165A41,2020-03-21,39
99,785750155P-12,12,Rue des Chênes,78470,Saint-Rémy-lès-Chevreuse,C+O,632606.3095567179,6846670.327933914,01010000206A080000D7377E9E3C4E234187DEFC94331E5A41,2020-03-21,29
100,784840005X-3,3,Chemin des Beurons,78200,Perdreauville,OSM,598857.2908721317,6876672.307261477,01010000206A0800002A31ED94924622410B2CAA13803B5A41,2020-03-21,40
101,786500660M-66,66,Allée du Lac Inférieur,78110,Le Vésinet,C+O,635605.3927550503,6865999.872840047,01010000206A080000A13017C9AA652341809CDCF713315A41,2020-03-21,41
102,785512410V-26,26,Rue du 4 Septembre,78100,Saint-Germain-en-Laye,OSM,631939.1832592792,6865434.7381655015,01010000206A0800000629D45D06492341841A3EAF86305A41,2020-03-21,36
103,78440B006W-9001,9001,Le Bois Saint Vincent,78130,Les Mureaux,CAD,617955.4861347392,6876284.423564052,01010000206A0800000DA7E6F8C6DB224166AC1B1B1F3B5A41,2020-03-21,42
104,785861830M-5,5,Rue Kléber,78500,Sartrouville,C+O,638578.3958852356,6871096.105678773,01010000206A0800003878B1CAE47C2341E670C3060E365A41,2020-03-21,24
105,786861144G-13,13,Avenue Robert Hardouin,78220,Viroflay,OSM,639617.6333615658,6856274.998249348,01010000206A08000097F74744038523413C51E3BF94275A41,2020-03-21,19
106,782420659K-21,21,Chemin du Val de Gally,78330,Fontenay-le-Fleury,OSM,629520.1695321115,6857337.001697209,01010000206A080000B5E9CC56203623419CCE1B409E285A41,2020-03-21,3
107,784900472D-36,36,Rue Orson Welles,78370,Plaisir,OSM,623674.7164707542,6858674.687897795,01010000206A0800003441D56E75082341798406ACEC295A41,2020-03-21,33
108,781200316T-506,506,Route des Yvelines,78830,Bullion,OSM,624232.1459615614,6834953.358338967,01010000206A0800004979BB4AD00C23419006EF56C2125A41,2020-03-21,-1
109,784980032R-116,116,Rue Adrienne Bolland,78300,Poissy,OSM,631382.9012496567,6871727.036172078,01010000206A080000529870CDAD442341B1A450C2AB365A41,2020-03-21,25
110,780900120K-18,18,Rue Laguillermie,78410,Bouafle,OSM,619110.3316593476,6874507.788661804,01010000206A0800000741CFA9CCE422415C6F79F262395A41,2020-03-21,43
111,78401B013Y-17,17,Île Belle,78250,Meulan-en-Yvelines,C+O,619716.1761441078,6878383.210725256,01010000206A0800007D8F2F5A88E92241C9857CCD2B3D5A41,2020-03-21,-1
112,782670692M-43,43,Rue Geneviève de Galard,78440,Gargenville,C+O,612801.5341964138,6876352.770626303,01010000206A0800003E31821183B32241FCF05131303B5A41,2020-03-21,44
113,785450320Z-46,46,Boulevard Henri Barbusse,78210,Saint-Cyr-l'École,OSM,631327.6226495171,6855450.30752668,01010000206A080000E2EACB3E3F4423416284AE93C6265A41,2020-03-21,45
114,781240350M-68,68,Rue des Fermettes,78420,Carrières-sur-Seine,OSM,640488.8492888438,6868774.352520601,01010000206A080000C2FCD5B2D18B234191B28F96C9335A41,2020-03-21,6
115,782330045G-82,82,Grande Rue,78810,Feucherolles,OSM,624959.7129045627,6864298.824246737,01010000206A080000ACD3016D7F1223416375C0B46A2F5A41,2020-03-21,-1
116,781380385P-1,1,Rue à la Vielle,78570,Chanteloup-les-Vignes,OSM,629214.6938505908,6876001.539650545,01010000206A08000078624063BD33234171A28962D83A5A41,2020-03-21,14
117,781460010X-3,3,Rue de l'Abbé Borreau,78400,Chatou,OSM,638026.8205530522,6865589.235007853,01010000206A08000098871FA495782341615E0A4FAD305A41,2020-03-21,13
118,785863000J-6,6,Avenue Rude,78500,Sartrouville,OSM,637867.8957006489,6870982.252803294,01010000206A080000844699CA57772341DEED2D90F1355A41,2020-03-21,5
119,782970213L-16,16,Rue Maurice Utrillo,78280,Guyancourt,OSM,630917.2041769698,6853824.04533063,01010000206A08000040E289680A41234171B2E60230255A41,2020-03-21,46
120,780620447M-41,41,Chemin de Paris,78650,Beynes,OSM,619151.9545044521,6862115.492770693,01010000206A080000BBCEB4E81FE52241178E89DF482D5A41,2020-03-21,47
121,784230661A-4,4,Rue Maria Callas,78180,Montigny-le-Bretonneux,OSM,629500.390431187,6853351.828290675,01010000206A080000B798E6C7F8352341E4B602F5B9245A41,2020-03-21,46
122,785450140D-20,20,Rue du Châtaignier des Dames,78210,Saint-Cyr-l'École,OSM,631594.5045321061,6855442.705989227,01010000206A0800003F0852025546234170ED2EADC4265A41,2020-03-21,45
123,786420100N-34,34,Avenue du Chemin de Fer,78480,Verneuil-sur-Seine,C+O,625507.2428066572,6876222.412635925,01010000206A0800007827517CC616234183A0689A0F3B5A41,2020-03-21,-1
124,781721680Z-195B,195BIS,Avenue du Maréchal Foch,78700,Conflans-Sainte-Honorine,OSM,635077.4062161269,6878787.959117793,01010000206A080000688FFBCF8A612341982F62FD903D5A41,2020-03-21,7
125,786380080J-134,134,Avenue de Cherbourg,78740,Vaux-sur-Seine,OSM,622311.2754308914,6879323.799929166,01010000206A0800001E47058DCEFD22411A0A32F3163E5A41,2020-03-21,48
126,786240730B-158,158,Rue Paul Doumer,78510,Triel-sur-Seine,OSM,627097.3131775155,6875985.820185022,01010000206A080000A6CD58A03223234152E97D74D43A5A41,2020-03-21,20
127,78403B038S-5115,5115,Ile de Mezy,78250,Mézy-sur-Seine,CAD,617800.403590639,6877707.458784905,01010000206A080000A76EA3CE90DA22415DBB5CDD823C5A41,2020-03-21,-1
128,784990035P-60,60,Grande Rue,78730,Ponthévrard,OSM,619435.3845509401,6828299.875734838,01010000206A0800005FDCE3C456E72241220A0CF8420C5A41,2020-03-21,49
129,782081930P-1,1,Place Frédéric Mistral,78990,Élancourt,C+O,622718.9774797536,6853430.738315684,01010000206A080000EC3978F4FD0023416D9040AFCD245A41,2020-03-21,50
130,783350010A-20,20,Rue Abel Plisson,78520,Limay,OSM,607666.3492068306,6877628.620203022,01010000206A080000DA3CCBB2648B22410468B1276F3C5A41,2020-03-21,27
131,783560160X-40,40,Rue de la Chapelle,78114,Magny-les-Hameaux,OSM,632988.0874732228,6847543.415737684,01010000206A0800004E4AC92C385123413B729BDA0D1F5A41,2020-03-21,-1
132,782200375X-11,11,Rue des Molières,78690,Les Essarts-le-Roi,C+O,618864.8567090364,6847109.86753445,01010000206A0800001B91A2B6E1E2224137AF8577A11E5A41,2020-03-21,-1
133,786400430F-12,12,Rue Montaigne,78140,Vélizy-Villacoublay,OSM,638893.0954533961,6854224.367347692,01010000206A0800007D44DF305A7F2341E59F821794255A41,2020-03-21,51
134,786500170E-44,44,Avenue Corot,78110,Le Vésinet,OSM,636794.3492670252,6867012.530863074,01010000206A080000A620D3B2F46E23411DA9F92111325A41,2020-03-21,22
135,781260075E-6,6,Résidence du Bel Ébat,78170,La Celle-Saint-Cloud,OSM,636303.7704862445,6859899.811441562,01010000206A0800004C2C7D8A1F6B234197A8EEF31E2B5A41,2020-03-21,52
136,784860655V-12,12,Clos des Pommiers,78610,Le Perray-en-Yvelines,CAD,615072.8856195087,6844131.195914262,01010000206A08000095EB6FC541C52241F9DB89CCB81B5A41,2020-03-21,-1
137,783540630S-8,8,Allée des Jonquilles,78200,Magnanville,OSM,603802.1751197934,6875486.328373168,01010000206A080000334DA959346D2241E4100495573A5A41,2020-03-21,-1
138,783721080C-44B,44BIS,Rue de Saint-Cyr,78160,Marly-le-Roi,OSM,633507.6650809284,6863243.360455999,01010000206A080000C97C8554475523410AB611D7622E5A41,2020-03-21,-1
139,780680315T-3,3,Rue de la Petite Bruyère,78270,Blaru,OSM,587817.0819072197,6884535.882841169,01010000206A0800003CBEEF2952F021413F7880F82D435A41,2020-03-21,-1
140,780730597C-33,33,Rue Simone Signoret,78390,Bois-d'Arcy,OSM,627316.6395507923,6856623.953222619,01010000206A08000092337347E9242341729901FDEB275A41,2020-03-21,53
141,784980375N-25,25,Rue Charles-Édouard Jeanneret,78300,Poissy,C+O,631589.4409881341,6872100.596106111,01010000206A0800005C32C9E14A4623413F9A262609375A41,2020-03-21,25
142,785180034F-10,10,Chemin Chaponval,78590,Rennemoulin,OSM,629805.4999985034,6859927.055963139,01010000206A080000C8CDFFFF5A3823416BE694C3252B5A41,2020-03-21,54
143,780620560K-38,38,Rue des Violettes,78650,Beynes,OSM,619734.6076993903,6862797.311558915,01010000206A080000DE5F2437ADE92241CE94F053F32D5A41,2020-03-21,47
144,782671458V-4,4,Rue des Terrasses,78440,Gargenville,OSM,613971.8362859276,6877868.743961075,01010000206A0800004AAB2DACA7BC2241EA0E9D2FAB3C5A41,2020-03-22,-1
145,784980040Z-1,1,Rue d'Aigremont,78300,Poissy,OSM,629403.5269609201,6869548.658175605,01010000206A0800005CD2CD0D37352341938C1F2A8B345A41,2020-03-22,55
146,781130360W-11,11,Rue d'Oinville,78440,Brueil-en-Vexin,OSM,614164.0907841744,6880546.909135455,01010000206A08000068437B2E28BE22417A462FBA483F5A41,2020-03-22,56
147,781460018F-2,2,Avenue Adrien Moisant,78400,Chatou,OSM,638321.457716363,6866089.734718323,01010000206A08000094CC59EAE27A234100A0056F2A315A41,2020-03-22,13
148,786740490Y-8,8,Rue Edmond Michelet,78450,Villepreux,OSM,625897.8093077313,6859579.60066202,01010000206A0800003D955D9ED31923411D3F71E6CE2A5A41,2020-03-22,12
149,786461043W-4,4,Rue Fragonard,78000,Versailles,OSM,638295.8354143635,6856555.893411991,01010000206A080000746EBBABAF7A23417DA92DF9DA275A41,2020-03-22,19
150,784600032F-5001,5001,Impasse du Bas de la Cote Montcien,78250,Oinville-sur-Montcient,CAD,615172.2713680024,6881865.592781947,01010000206A0800002FBFF08A08C62241B123F06592405A41,2020-03-22,-1
