id,labels,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle,X,Y
"0","0","0","0","0","0",0.00000000000000,104.76233662014027,655076.7432945,6862907.3784160
"0","0","1","0","0","1",42.28789703225721,75.51869547839672,655118.3272143,6862915.0624156
"0","0","2","0","0","2",169.40841788973552,94.61640274739590,655238.8832458,6862955.3844950
"0","0","3","0","0","3",260.37365919604667,99.45866324724243,655319.4039309,6862913.0631717
"0","0","4","0","0","4",294.26767797377647,81.44145508868274,655352.8981568,6862918.2536763
"0","0","5","0","0","5",473.37443643183872,83.16211047944556,655530.1252134,6862944.1341969
"0","0","6","0","0","6",599.76518678558602,89.25432491218774,655655.9617464,6862955.9574249
"0","0","7","0","0","7",647.97727720787134,66.16338335975136,655704.0635472,6862952.6982179
"0","0","8","0","0","8",812.96350482757975,42.68287370571072,655806.6583735,6863081.9064100
"0","0","9","0","0","9",845.74275271032411,34.43719779583665,655830.5984903,6863104.2972541
"0","0","10","0","0","10",985.11535512876969,339.89845221233077,655882.7163107,6863233.5584436
"0","0","11","0","0","11",1071.13134382830299,284.61693082731551,655806.6546326,6863273.7252389
"0","0","12","0","0","12",1210.75059362391653,278.37906877279238,655667.0768310,6863277.1270341
"0","0","13","0","0","13",1340.72209999996244,288.30035959107073,655541.7490351,6863311.5586479
"0","0","14","0","0","14",1476.63284997330925,326.64312778966473,655415.0694512,6863360.7929347
"0","0","15","0","0","15",1662.40371898602757,43.64662714983167,655421.7067901,6863546.4451943
"0","0","16","0","0","16",1726.26418467756389,86.11804365463790,655485.3475318,6863551.7381204
"0","0","17","0","0","17",1789.09588254408004,80.88971964059208,655548.0925674,6863555.0370249
"0","0","18","0","0","18",1930.48233176318399,113.03013223833187,655684.5257493,6863592.1330474
"0","0","19","0","0","19",2025.60760949314863,92.01016320086008,655730.2490871,6863508.7172525
"0","0","20","0","0","20",2200.98990933805908,56.98827881681888,655825.1242011,6863656.2220451
"0","0","21","0","0","21",2270.47035115351946,129.42544593309341,655893.7918257,6863666.8187016
"0","0","22","0","0","22",2372.11518682055066,114.52839543203940,655898.0066747,6863565.2612910
"0","0","23","0","0","23",2525.12353668591322,65.08089937092841,656017.6413324,6863660.6505136
"0","0","24","0","0","24",2653.37058449758479,82.88864915362193,656143.4147407,6863685.7175246
"0","0","25","0","0","25",2766.38373346831486,86.60538902312452,656256.2780082,6863691.5360036
"0","0","26","0","0","26",2781.31572802927803,79.35629198972926,656271.1765139,6863692.5354982
"0","0","27","0","0","27",2947.18142266130326,27.63208998202050,656429.4094503,6863742.2724712
"0","0","28","0","0","28",3114.69418195843309,314.46923121310465,656379.6331906,6863902.2188638
